mp_id,category,config,nmae,seconds,grid,mass_captured,effective_threshold
mp-1786695,intermetallic,delta-fourier-lowg-1pct,0.008258496882401897,0.2796009170124307,"(128, 128, 128)",,
mp-1786695,intermetallic,delta-fourier-lowg-5pct,0.001475140157724666,0.28005541700986214,"(128, 128, 128)",,
mp-1786695,intermetallic,delta-fourier-lowg-25pct,0.0008661144991877549,0.28041391700389795,"(128, 128, 128)",,
mp-1777831,chalcogenide,direct,2.154299323862913e-08,0.0007513329910580069,"(128, 128, 128)",,
mp-1777831,chalcogenide,cutoff-top-1pct,0.8718433224890242,0.006172833003802225,"(128, 128, 128)",0.12815669178962708,789.1720581054688
mp-1777831,chalcogenide,cutoff-top-5pct,0.6312145731857661,0.008434040995780379,"(128, 128, 128)",0.36878547072410583,326.8885192871094
mp-1777831,chalcogenide,cutoff-top-25pct,0.20713108506173528,0.010665209003491327,"(128, 128, 128)",0.792868971824646,76.55891418457031
mp-1777831,chalcogenide,cutoff-top-100pct,2.154299323862913e-08,0.006702875019982457,"(128, 128, 128)",1.0,-72.1048583984375
mp-1777831,chalcogenide,fourier-lowg-0.25pct,0.026637501514116074,0.0224572500155773,"(128, 128, 128)",,
mp-1777831,chalcogenide,fourier-lowg-0.5pct,0.010039493003126017,0.021588250005152076,"(128, 128, 128)",,
mp-1777831,chalcogenide,fourier-lowg-1pct,0.002723890801139223,0.02158695799880661,"(128, 128, 128)",,
mp-1777831,chalcogenide,fourier-lowg-5pct,0.00041259135730864103,0.022728791984263808,"(128, 128, 128)",,
mp-1777831,chalcogenide,fourier-lowg-25pct,0.00037513127880642034,0.023449832980986685,"(128, 128, 128)",,
mp-1777831,chalcogenide,fourier-lowg-100pct,3.224153472640466e-08,0.02228350000223145,"(128, 128, 128)",,
mp-1777831,chalcogenide,delta-fourier-lowg-0.25pct,0.032970502788636544,0.6393427500152029,"(128, 128, 128)",,
mp-1777831,chalcogenide,delta-fourier-lowg-0.5pct,0.010109473275769111,0.8927530829969328,"(128, 128, 128)",,
mp-1777831,chalcogenide,delta-fourier-lowg-1pct,0.002724154568420962,0.6810568329819944,"(128, 128, 128)",,
mp-1777831,chalcogenide,delta-fourier-lowg-5pct,0.00041259126723496877,0.7015431659820024,"(128, 128, 128)",,
mp-1777831,chalcogenide,delta-fourier-lowg-25pct,0.00037513132634987677,0.7042531250044703,"(128, 128, 128)",,
mp-2488630,other,direct,2.134136894352798e-08,0.0006614580051973462,"(128, 128, 128)",,
mp-2488630,other,cutoff-top-1pct,0.7617750513570372,0.006742750003468245,"(128, 128, 128)",0.23822496831417084,593.3331909179688
mp-2488630,other,cutoff-top-5pct,0.48070362721075355,0.00854841701220721,"(128, 128, 128)",0.519296407699585,91.42622375488281
mp-2488630,other,cutoff-top-25pct,0.22238094761879737,0.011860250000609085,"(128, 128, 128)",0.7776191234588623,30.28390884399414
mp-2488630,other,cutoff-top-100pct,2.134136894352798e-08,0.007454082980984822,"(128, 128, 128)",1.0,-33.43270492553711
mp-2488630,other,fourier-lowg-0.25pct,0.006726387123103065,0.02407525002490729,"(128, 128, 128)",,
mp-2488630,other,fourier-lowg-0.5pct,0.002770518479434712,0.026299667020794004,"(128, 128, 128)",,
mp-2488630,other,fourier-lowg-1pct,0.0011112828658959837,0.02435191601398401,"(128, 128, 128)",,
mp-2488630,other,fourier-lowg-5pct,0.0002743366082627511,0.025151916983304545,"(128, 128, 128)",,
mp-2488630,other,fourier-lowg-25pct,9.86592193164239e-05,0.026823082996997982,"(128, 128, 128)",,
mp-2488630,other,fourier-lowg-100pct,7.298084652497329e-08,0.02509337500669062,"(128, 128, 128)",,
mp-2488630,other,delta-fourier-lowg-0.25pct,0.006889794670084595,0.24462779200985096,"(128, 128, 128)",,
mp-2488630,other,delta-fourier-lowg-0.5pct,0.0027827016769341392,0.21732299998984672,"(128, 128, 128)",,
mp-2488630,other,delta-fourier-lowg-1pct,0.0011358966984090643,0.21242487500421703,"(128, 128, 128)",,
mp-2488630,other,delta-fourier-lowg-5pct,0.0002983069176206214,0.21448225001222454,"(128, 128, 128)",,
mp-2488630,other,delta-fourier-lowg-25pct,0.00012135239410559215,0.20559050000156276,"(128, 128, 128)",,
mp-1886230,other,direct,2.1124501477163876e-08,0.0007885000086389482,"(128, 128, 128)",,
mp-1886230,other,cutoff-top-1pct,0.8177193719238577,0.008564500021748245,"(128, 128, 128)",0.18228062987327576,2341.445068359375
mp-1886230,other,cutoff-top-5pct,0.5383685866800119,0.01027500000782311,"(128, 128, 128)",0.4616313874721527,528.52880859375
mp-1886230,other,cutoff-top-25pct,0.2675559458406539,0.012004666001303121,"(128, 128, 128)",0.7324440479278564,147.85105895996094
mp-1886230,other,cutoff-top-100pct,2.1124501477163876e-08,0.00767362499027513,"(128, 128, 128)",1.0,-108.6971206665039
mp-1886230,other,fourier-lowg-0.25pct,0.19356416964237222,0.02407600000151433,"(128, 128, 128)",,
mp-1886230,other,fourier-lowg-0.5pct,0.05419574496004196,0.022553624992724508,"(128, 128, 128)",,
mp-1886230,other,fourier-lowg-1pct,0.017569612863561512,0.021815290994709358,"(128, 128, 128)",,
mp-1886230,other,fourier-lowg-5pct,0.0011552157853017813,0.023092749994248152,"(128, 128, 128)",,
mp-1886230,other,fourier-lowg-25pct,0.0003555634627121856,0.023741125012747943,"(128, 128, 128)",,
